dbn,school_name,num_of_sat_test_takers,sat_critical_reading_avg_score,sat_math_avg_score,sat_writing_avg_score,pct_students_tested,academic_tier_rating,sat_avg_total_score,sat_sum_total_score
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,29,355,404,363,78,2,374,1122
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,91,383,423,366,,3,391,1172
01M450,EAST SIDE COMMUNITY SCHOOL,70,377,402,370,,3,383,1149
01M458,FORSYTH SATELLITE ACADEMY,7,414,401,359,92,4,391,1174
01M509,MARTA VALLE HIGH SCHOOL,44,390,433,384,92,2,402,1207
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,112,332,557,316,,3,402,1205
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",159,522,574,525,78,2,540,1621
01M650,CASCADES HIGH SCHOOL,18,417,418,411,92,4,415,1246
01M696,BARD HIGH SCHOOL EARLY COLLEGE,130,624,604,628,,,619,1856
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,16,395,400,387,78,4,394,1182
02M288,FOOD AND FINANCE HIGH SCHOOL,62,409,393,392,92,,398,1194
02M294,ESSEX STREET ACADEMY,53,394,384,378,78,4,385,1156
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,374,375,362,92,3,370,1111
02M298,PACE HIGH SCHOOL,85,423,438,432,78,2,431,1293
02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",48,404,449,416,92,,423,1269
02M303,"FACING HISTORY SCHOOL, THE",76,353,358,340,,,350,1051
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",50,375,388,385,85,,383,1148
02M308,LOWER MANHATTAN ARTS ACADEMY,40,403,392,405,,4,400,1200
02M313,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING",69,408,390,390,,2,396,1188
02M316,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",42,373,370,384,92,,376,1127
02M374,GRAMERCY ARTS HIGH SCHOOL,60,391,391,394,85,,392,1176
02M376,NYC ISCHOOL,92,473,483,479,78,4,478,1435
02M392,MANHATTAN BUSINESS ACADEMY,,,,,85,,,0
02M393,BUSINESS OF SPORTS SCHOOL,,,,,,2,,0
02M394,EMMA LAZARUS HIGH SCHOOL,79,319,512,357,78,2,396,1188
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,,,,,85,,,0
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,263,465,493,461,,2,473,1419
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,54,492,465,467,85,,475,1424
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,94,509,490,523,92,1,507,1522
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,104,496,563,518,,3,526,1577
02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,114,537,590,550,92,4,559,1677
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,66,517,533,515,85,3,522,1565
02M414,N.Y.C. MUSEUM SCHOOL,103,468,492,459,92,1,473,1419
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,127,572,594,592,92,2,586,1758
02M418,MILLENNIUM HIGH SCHOOL,144,528,553,533,85,2,538,1614
02M419,LANDMARK HIGH SCHOOL,62,390,399,381,78,2,390,1170
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,336,429,449,428,92,3,435,1306
02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,84,416,426,391,92,4,411,1233
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,,,,,,4,,0
02M429,LEGACY SCHOOL FOR INTEGRATED STUDIES,29,356,357,349,92,1,354,1062
02M437,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,,,,,,2,,0
02M438,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,,,,,78,1,,0
02M439,MANHATTAN VILLAGE ACADEMY,95,441,473,458,85,1,457,1372
02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,59,378,365,368,92,2,370,1111
02M449,VANGUARD HIGH SCHOOL,72,395,416,388,85,4,400,1199
02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,49,376,460,391,85,3,409,1227
02M460,WASHINGTON IRVING HIGH SCHOOL,151,373,387,360,78,3,373,1120
02M473,WASHINGTON IRVING YABC,,,,,92,3,,0
02M475,STUYVESANT HIGH SCHOOL,832,679,735,682,,4,699,2096
02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,167,443,489,442,92,4,458,1374
02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,25,370,349,351,,,357,1070
02M519,TALENT UNLIMITED HIGH SCHOOL,81,469,472,475,,,472,1416
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,264,407,440,393,92,2,413,1240
02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,131,414,425,400,85,4,413,1239
02M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,42,429,404,420,,,418,1253
02M542,MANHATTAN BRIDGES HIGH SCHOOL,66,336,378,344,85,,353,1058
02M543,NEW DESIGN HIGH SCHOOL,73,391,395,382,78,2,389,1168
02M544,INDEPENDENCE HIGH SCHOOL,14,389,371,335,85,3,365,1095
02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,78,412,581,431,78,1,475,1424
02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,26,368,436,352,78,4,385,1156
02M551,THE URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,77,405,423,384,92,3,404,1212
02M560,HIGH SCHOOL M560 s CITY AS SCHOOL,56,498,440,477,85,4,472,1415
02M565,URBAN ACADEMY LABORATORY HIGH SCHOOL,30,527,508,512,85,4,516,1547
02M570,SATELLITE ACADEMY HIGH SCHOOL,33,350,337,345,85,1,344,1032
02M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,121,345,517,343,78,1,402,1205
02M580,RICHARD R. GREEN HIGH SCHOOL OF TEACHING,84,408,384,403,,4,398,1195
02M586,HARVEY MILK HIGH SCHOOL,9,458,416,429,85,4,434,1303
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,335,423,423,411,78,1,419,1257
02M605,HUMANITIES PREPARATORY ACADEMY,36,426,403,426,,1,418,1255
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,83,399,418,390,92,4,402,1207
02M620,NORMAN THOMAS HIGH SCHOOL,154,370,379,359,,,369,1108
02M625,HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS,191,395,382,376,,2,384,1153
02M630,ART AND DESIGN HIGH SCHOOL,270,444,441,430,85,,438,1315
02M655,LIFE SCIENCES SECONDARY SCHOOL,61,409,424,403,92,2,412,1236
03M283,MANHATTAN THEATRE LAB HIGH SCHOOL,27,406,379,408,85,3,398,1193
03M299,"HIGH SCHOOL FOR ARTS, IMAGINATION AND INQUIRY",49,374,384,374,,1,377,1132
03M307,"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE",41,384,390,370,78,4,381,1144
03M402,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,,,,,78,3,,0
